table,select,insert,update,delete,disposition,review_status
minion_budget_log,1,1,0,0,ALLOW_RUNTIME_EXACT_COMMANDS,PROVISIONAL_NO_GO
minion_inbox,1,1,1,0,ALLOW_RUNTIME_EXACT_COMMANDS,PROVISIONAL_NO_GO
minion_jobs,1,1,1,1,ALLOW_RUNTIME_EXACT_COMMANDS,PROVISIONAL_NO_GO
minion_lease_pressure_log,1,1,0,0,ALLOW_RUNTIME_EXACT_COMMANDS,PROVISIONAL_NO_GO
minion_self_fix_log,0,1,0,0,ALLOW_RUNTIME_EXACT_COMMANDS,PROVISIONAL_NO_GO
oauth_clients,1,1,1,0,ALLOW_RUNTIME_EXACT_COMMANDS_TEMPORARY_SENSITIVE,PROVISIONAL_NO_GO
oauth_codes,1,1,0,1,ALLOW_RUNTIME_EXACT_COMMANDS_TEMPORARY_SENSITIVE,PROVISIONAL_NO_GO
oauth_tokens,1,1,0,1,ALLOW_RUNTIME_EXACT_COMMANDS_TEMPORARY_SENSITIVE,PROVISIONAL_NO_GO
op_checkpoint_paths,1,1,0,1,ALLOW_RUNTIME_EXACT_COMMANDS,PROVISIONAL_NO_GO
op_checkpoints,1,1,1,1,ALLOW_RUNTIME_EXACT_COMMANDS,PROVISIONAL_NO_GO
page_aliases,1,1,0,1,ALLOW_RUNTIME_EXACT_COMMANDS,PROVISIONAL_NO_GO
page_generation_clock,0,0,0,0,DENY_RUNTIME_NO_GRANT,PROVISIONAL_NO_GO
page_versions,1,1,0,0,ALLOW_RUNTIME_EXACT_COMMANDS,PROVISIONAL_NO_GO
pages,1,1,1,1,ALLOW_RUNTIME_EXACT_COMMANDS,PROVISIONAL_NO_GO
portal_access_request_grants,1,1,1,0,ALLOW_RUNTIME_EXACT_COMMANDS_TEMPORARY_SENSITIVE,PROVISIONAL_NO_GO
portal_access_requests,1,1,1,0,ALLOW_RUNTIME_EXACT_COMMANDS_TEMPORARY_SENSITIVE,PROVISIONAL_NO_GO
portal_acl_audit,1,1,0,0,ALLOW_RUNTIME_EXACT_COMMANDS_TEMPORARY_SENSITIVE,PROVISIONAL_NO_GO
portal_source_grants,1,1,1,1,ALLOW_RUNTIME_EXACT_COMMANDS_TEMPORARY_SENSITIVE,PROVISIONAL_NO_GO
portal_users,1,1,1,0,ALLOW_RUNTIME_EXACT_COMMANDS_TEMPORARY_SENSITIVE,PROVISIONAL_NO_GO
query_cache,1,1,1,1,ALLOW_RUNTIME_EXACT_COMMANDS,PROVISIONAL_NO_GO
raw_data,1,1,1,0,ALLOW_RUNTIME_EXACT_COMMANDS,PROVISIONAL_NO_GO
search_telemetry,1,1,1,0,ALLOW_RUNTIME_EXACT_COMMANDS,PROVISIONAL_NO_GO
slug_aliases,1,1,0,0,ALLOW_RUNTIME_EXACT_COMMANDS,PROVISIONAL_NO_GO
source_article_views,1,1,1,1,ALLOW_RUNTIME_EXACT_COMMANDS,PROVISIONAL_NO_GO
source_base_views,1,1,1,1,ALLOW_RUNTIME_EXACT_COMMANDS,PROVISIONAL_NO_GO
source_connector_configs,1,1,1,0,ALLOW_RUNTIME_EXACT_COMMANDS_TEMPORARY_SENSITIVE,PROVISIONAL_NO_GO
source_connector_secret_audit,1,1,0,0,ALLOW_RUNTIME_EXACT_COMMANDS_TEMPORARY_SENSITIVE,PROVISIONAL_NO_GO
source_connector_secrets,1,1,1,1,ALLOW_RUNTIME_EXACT_COMMANDS_TEMPORARY_SENSITIVE,PROVISIONAL_NO_GO
source_connectors,1,1,1,1,ALLOW_RUNTIME_EXACT_COMMANDS_TEMPORARY_SENSITIVE,PROVISIONAL_NO_GO
source_ingest_profile_versions,0,1,0,0,ALLOW_RUNTIME_EXACT_COMMANDS,PROVISIONAL_NO_GO
source_ingest_profiles,1,1,1,0,ALLOW_RUNTIME_EXACT_COMMANDS,PROVISIONAL_NO_GO
source_ingest_run_items,1,1,1,1,ALLOW_RUNTIME_EXACT_COMMANDS,PROVISIONAL_NO_GO
source_sync_state,1,1,1,0,ALLOW_RUNTIME_EXACT_COMMANDS,PROVISIONAL_NO_GO
source_transform_views,1,1,1,1,ALLOW_RUNTIME_EXACT_COMMANDS,PROVISIONAL_NO_GO
sources,1,1,1,1,ALLOW_RUNTIME_EXACT_COMMANDS,PROVISIONAL_NO_GO
subagent_messages,1,1,0,0,ALLOW_RUNTIME_EXACT_COMMANDS,PROVISIONAL_NO_GO
subagent_rate_leases,1,1,1,1,ALLOW_RUNTIME_EXACT_COMMANDS,PROVISIONAL_NO_GO
subagent_tool_executions,1,1,1,0,ALLOW_RUNTIME_EXACT_COMMANDS,PROVISIONAL_NO_GO
synthesis_evidence,0,1,0,0,ALLOW_RUNTIME_EXACT_COMMANDS,PROVISIONAL_NO_GO
tags,1,1,0,1,ALLOW_RUNTIME_EXACT_COMMANDS,PROVISIONAL_NO_GO
take_domain_assignments,1,0,0,0,ALLOW_RUNTIME_EXACT_COMMANDS,PROVISIONAL_NO_GO
take_grade_cache,1,1,1,0,ALLOW_RUNTIME_EXACT_COMMANDS,PROVISIONAL_NO_GO
take_nudge_log,1,1,0,1,ALLOW_RUNTIME_EXACT_COMMANDS,PROVISIONAL_NO_GO
take_proposal_scan_attempts,1,1,0,0,ALLOW_RUNTIME_EXACT_COMMANDS,PROVISIONAL_NO_GO
take_proposal_scans,1,1,1,0,ALLOW_RUNTIME_EXACT_COMMANDS,PROVISIONAL_NO_GO
take_proposals,1,1,1,0,ALLOW_RUNTIME_EXACT_COMMANDS,PROVISIONAL_NO_GO
takes,1,1,1,0,ALLOW_RUNTIME_EXACT_COMMANDS,PROVISIONAL_NO_GO
think_ab_results,1,1,0,0,ALLOW_RUNTIME_EXACT_COMMANDS,PROVISIONAL_NO_GO
timeline_entries,1,1,0,0,ALLOW_RUNTIME_EXACT_COMMANDS,PROVISIONAL_NO_GO
